,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_early_stopping_rounds,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,21.061856031417847,3.2124339492067793,0.9401252269744873,0.16711482602522407,0.5,25,100.0,1.0,1000,1,10,5,0.2,0.5,15,1.0,"{'subsample': 0.5, 'scale_pos_weight': 25, 'reg_lambda': 100, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 10, 'max_delta_step': 5, 'learning_rate': 0.2, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9639374464744024,0.9964226631851801,0.9810614566512501,0.9804738554369442,0.013268541305831596,1
1,16.81014935175578,2.696644140739946,0.8764037291208903,0.22717171461949992,1.0,25,10.0,10.0,1000,3,10,10,0.2,0.0,15,1.0,"{'subsample': 1.0, 'scale_pos_weight': 25, 'reg_lambda': 10, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 10, 'max_delta_step': 10, 'learning_rate': 0.2, 'gamma': 0, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9542088696213543,0.9955732660185302,0.9888950358797122,0.979559057173199,0.018131440393821023,2
2,22.842256943384807,4.643418176527633,1.297153075536092,0.3946038244044182,1.0,5,1.0,1.0,1000,3,10,0,0.1,5.0,15,0.9,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 10, 'max_delta_step': 0, 'learning_rate': 0.1, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.9547002565123994,0.9977391467834279,0.9808402249192525,0.9777598760716932,0.017705045057033922,3
3,46.79711405436198,11.901479565620832,2.6550532976786294,0.7200435944635881,0.8,10,0.1,1.0,1000,1,10,1,0.05,5.0,15,0.7,"{'subsample': 0.8, 'scale_pos_weight': 10, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 10, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.7}",0.9536579117909614,0.9965051097671448,0.9777877347880131,0.9759835854487063,0.017538753466375626,4
4,41.62386266390482,7.995426826178816,2.4049689769744873,0.45890065586763146,0.8,5,1.0,1.0,1000,5,8,10,0.05,0.5,15,1.0,"{'subsample': 0.8, 'scale_pos_weight': 5, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 8, 'max_delta_step': 10, 'learning_rate': 0.05, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9500192755454263,0.9958621386217215,0.9798138062780232,0.9752317401483902,0.018993657209188417,5
5,26.753569444020588,7.3333229540424725,1.4393713474273682,0.4708101056844669,1.0,5,10.0,1.0,1000,5,8,0,0.1,5.0,15,1.0,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 8, 'max_delta_step': 0, 'learning_rate': 0.1, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.944462011764889,0.9977762854797296,0.980694724234869,0.9743110071598292,0.022228612615363613,6
6,57.582148949305214,18.22992668012447,3.6069647471110025,0.9523418893495618,0.8,50,0.1,1.0,1000,7,10,1,0.05,0.1,15,1.0,"{'subsample': 0.8, 'scale_pos_weight': 50, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 10, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0.1, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9451681102707098,0.9974867978579014,0.9787134935275057,0.9737894672187055,0.02164094566678107,7
7,32.36534039179484,9.551904450708099,1.4047791957855225,0.5513097391455337,0.7,5,100.0,10.0,1000,1,8,0,0.1,1.0,15,0.9,"{'subsample': 0.7, 'scale_pos_weight': 5, 'reg_lambda': 100, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 8, 'max_delta_step': 0, 'learning_rate': 0.1, 'gamma': 1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.9567756855286567,0.9972958848477199,0.9666817298023641,0.9735844333929137,0.017247359717908358,8
8,27.064977010091145,4.8858131805826375,1.0916189352671306,0.2510228929258804,0.5,10,10.0,0.1,1000,5,8,10,0.1,0.1,15,0.9,"{'subsample': 0.5, 'scale_pos_weight': 10, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 8, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.942730329465057,0.9940233459913386,0.979377131947859,0.9720436024680849,0.021572805057361564,9
9,65.69766704241435,26.518205069786266,3.1205357710520425,1.0490753048988994,1.0,50,100.0,1.0,1000,3,8,1,0.05,0.5,15,0.9,"{'subsample': 1.0, 'scale_pos_weight': 50, 'reg_lambda': 100, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 8, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.941964312946971,0.9972841964530786,0.9741430613610449,0.9711305235870316,0.022684486852799095,10
