,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_early_stopping_rounds,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,71.81856934229533,0.9654141434336294,1.633450984954834,0.04631857374922516,0.7,5,0.1,0.0,1000,7,4,1,0.05,1.0,15,0.5,"{'subsample': 0.7, 'scale_pos_weight': 5, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 4, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.1383652965638491,0.1631397953565636,0.16343674189191643,0.15498061127077636,0.011749427118485102,1
1,77.24802692731221,4.189508882031839,1.5506263573964436,0.14536562706354975,0.5,50,1.0,10.0,1000,5,4,1,0.05,0.5,15,0.5,"{'subsample': 0.5, 'scale_pos_weight': 50, 'reg_lambda': 1, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 4, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.13650398353423893,0.1640569862816173,0.16403079782028887,0.1548639225453817,0.012982441779278615,2
2,93.2255510489146,11.896523350919747,1.5385273297627766,0.27686117515210545,0.8,50,100.0,0.0,1000,1,4,10,0.05,1.0,15,0.7,"{'subsample': 0.8, 'scale_pos_weight': 50, 'reg_lambda': 100, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 4, 'max_delta_step': 10, 'learning_rate': 0.05, 'gamma': 1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.7}",0.13356892206009566,0.16471523488598033,0.1634022146581695,0.15389545720141518,0.014383023063508653,3
3,74.12562108039856,6.153616976002054,1.2685916423797607,0.019632726595071082,1.0,10,10.0,1.0,1000,1,3,1,0.05,5.0,15,0.9,"{'subsample': 1.0, 'scale_pos_weight': 10, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 3, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.1346781804017717,0.16276006001311422,0.16410508351995273,0.15384777464494623,0.013566067463699002,4
4,53.41453003883362,7.354659282713491,1.3841647307078044,0.1931954886612416,0.5,5,100.0,0.0,1000,5,5,0,0.05,5.0,15,0.9,"{'subsample': 0.5, 'scale_pos_weight': 5, 'reg_lambda': 100, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 5, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.1371164092784457,0.16242825453048368,0.16173881526296424,0.15376115969063123,0.011772980898052444,5
5,59.85092043876648,5.299411356796531,1.5656420389811199,0.2406987397637512,0.5,25,0.1,0.0,1000,5,4,1,0.05,0.0,15,0.7,"{'subsample': 0.5, 'scale_pos_weight': 25, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 4, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0, 'early_stopping_rounds': 15, 'colsample_bytree': 0.7}",0.1339211129451111,0.16383223807600913,0.1632059381935776,0.15365309640489927,0.013954961873319441,6
6,92.80956021944682,7.826955463633898,1.957899808883667,0.2989123730451321,1.0,5,1.0,0.0,1000,3,4,10,0.05,0.0,15,0.5,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 4, 'max_delta_step': 10, 'learning_rate': 0.05, 'gamma': 0, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.13572525151271758,0.16257285066470534,0.16245927005070665,0.15358579074270987,0.012629393528023924,7
7,61.142234086990356,8.128990983222574,1.1678835550944011,0.21473112050438345,0.8,10,1.0,0.1,1000,3,4,10,0.05,1.0,15,0.9,"{'subsample': 0.8, 'scale_pos_weight': 10, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 4, 'max_delta_step': 10, 'learning_rate': 0.05, 'gamma': 1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.13382124246322913,0.1637483475635914,0.1626882361517116,0.15341927539284406,0.013864658430318493,8
8,97.92848976453145,13.885488167755014,1.4350353876749675,0.14209627876608288,1.0,5,100.0,10.0,1000,7,3,1,0.05,0.1,15,1.0,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 100, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 3, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0.1, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.13609653189051768,0.16060040513363488,0.16320729804352413,0.15330141168922556,0.012212149396588564,9
9,76.57394893964131,2.4589796086609614,1.6373109022776287,0.06659487564051324,0.5,50,0.1,1.0,1000,7,4,0,0.05,0.1,15,0.5,"{'subsample': 0.5, 'scale_pos_weight': 50, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 4, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 0.1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.13451470262230616,0.1638925651752186,0.1613366444207333,0.15324797073941937,0.013287454822413997,10
